Date,Reliance,HDFC Bank,Infosys,NIFTY50
2023-05-23,-0.00018331801689330796,-0.002346108108508771,0.005607876333297845,0.001834600568861644
2023-05-24,-0.005825962590602751,-0.013070976723429162,-0.0010767434372349616,-0.0034117947119577385
2023-05-25,-0.00012284114360827658,-0.0038371917397499455,0.004389099896298987,0.001955111686716471
2023-05-26,0.027275180212890993,0.003851972496796474,0.010043346127573738,0.009726420827874671
2023-05-29,0.005625411938816383,0.012192023043485545,-0.002315181512816955,0.005367798508963517
2023-05-30,-0.00025790129032332576,0.0007643441431899323,0.007189606153903405,0.0018925684396833287
2023-05-31,-0.019861505980269256,-0.015824045180777846,-0.004192242948004354,-0.0053370195013254795
2023-06-01,-0.002692473589528843,-0.004252418372695743,0.0009102905438218567,-0.0025169624936233204
2023-06-02,-0.0032680465833422323,0.0015585528460750897,-0.00230422091146798,0.002507044360454902
2023-06-05,0.008981088632976197,-0.0013071814809737514,0.004234077193501884,0.003223787573137793
2023-06-06,0.0008475843253030746,-0.0031163286852865513,-0.0195476885615129,0.00027699431442118616
2023-06-07,0.0075827558042227405,0.005189364930472173,0.007779494460190772,0.006849851638528914
2023-06-08,0.0006003982174092037,0.0006219395919038195,-0.0047712585725432355,-0.0049048192636628185
2023-06-09,-0.007081068347842723,0.001181208003463885,-0.013135489276729584,-0.00381819725413457
2023-06-12,0.0008863821236755332,-0.006084702762612637,0.020538108655234533,0.0020524046550352004
2023-06-13,0.014773766905276542,0.0016865454131809177,0.009984827729928591,0.0061635024393194016
2023-06-14,0.012297414814561813,-0.0010913429148976528,-0.0034102829461897244,0.0021238341844009856
2023-06-15,0.00027433864790227247,-0.012298968503917318,-0.010458458046790353,-0.0036149041015322014
2023-06-16,0.009735408097244713,0.01308421912757507,0.0037690051379843936,0.0073790483520230765
2023-06-19,-0.00993246043107543,0.0008735454537061038,0.0018195704024275283,-0.0037475183921172883
2023-06-20,0.0020768615885293773,0.0020883781167555515,0.007264250351733281,0.003265717567498605
2023-06-21,0.0028157664095569412,0.017480524815963516,-0.00310725109897958,0.0021337637466720683
2023-06-22,-0.011231231964013988,0.0048911811676144445,-0.013699074602392725,-0.004539443817404343
2023-06-23,-0.008183672162911604,-6.081260751411577e-05,-0.012914232341812548,-0.005633615236065759
2023-06-26,-0.007634983944958318,-0.004837299975780307,0.004229313160207138,0.0013768299134766515
2023-06-27,0.00036067853855548115,0.01409316079374956,0.006927225057275388,0.00675190341711196
2023-06-28,0.01323874951584103,0.010581195654467024,0.011101112945096858,0.00822107281232487
2023-06-30,0.00820318900730177,0.015064288463391806,0.03258979471721468,0.01143527476356887
2023-07-03,0.025664238955634522,0.010814622601594825,-0.0013478724444166978,0.00695709243369369
2023-07-04,-0.010303191890674523,0.004884331381987739,0.008585303348763729,0.003438946519135566
2023-07-05,-0.0016417822106792324,-0.031767237350606936,0.0015983058153630214,0.0004899685388621844
2023-07-06,0.02099047816519084,0.00101598946776571,-0.002523671913877923,0.00509321758125636
2023-07-07,-0.0019516771665121224,-0.008716392235104897,-0.010194207206474681,-0.00848835445771845
2023-07-10,0.03852136695901098,-0.00237896414718175,-0.0007891777691791946,0.0012466303397029588
2023-07-11,0.01084068045046327,-0.0048597476480506385,0.01463320642631083,0.004313930032438185
2023-07-12,0.0011033059813654322,-0.009372791311089146,-0.01134504217907395,-0.002834429471475497
2023-07-13,-0.008942223506990254,0.004990971063242755,0.023850686775151786,0.0015192303855748879
2023-07-14,-0.000838583088990319,0.0020718483252966102,0.044575349076524606,0.007765114931427508
2023-07-17,0.020432860121354146,0.02091815366294192,-0.0021039277493360986,0.007511013251041421
2023-07-18,0.008492056821770566,-0.0008338492447176327,0.03671956604426119,0.001917706853032497
2023-07-19,0.007587453680580669,0.004530451926036516,-0.00016942202251257754,0.004248282371482448
2023-07-20,-0.0012109219153436657,0.002166074546752439,-0.01725485719435005,0.007361412439498949
2023-07-21,-0.030956126253241845,-0.0076979150375461325,-0.08133846002183276,-0.011719737128305097
2023-07-24,-0.020226453762084984,0.0015813270199993568,0.0037549356825115066,-0.0036794322929856182
2023-07-25,-0.000643187255803146,0.010843717835440803,-0.001496316249799956,0.0004193703428323481
2023-07-26,0.016252171732105358,-0.0034776341709508163,0.010677377404417543,0.004964339187534694
2023-07-27,-0.009302464637258923,-0.010380225262904719,0.00318784343073486,-0.0059863783008722304
2023-07-28,0.010049186754339967,-0.017721070020581653,-0.00934853381624745,-0.0007044597937843067
2023-07-31,0.008465680377409468,0.004684992138138,0.01133903573813555,0.005484562836559181
2023-08-01,-0.014141416292952513,0.006692244331893971,0.007007463945961412,-0.0010251191770254131
2023-08-02,-0.010683560280627447,-0.013084716280027053,-0.006116257081936305,-0.010489749274959825
2023-08-03,-0.004203031225325504,-0.007223389808637126,0.005490660843258999,-0.007420685416911321
2023-08-04,0.013591102765711627,0.014459721870792253,0.010298227630906043,0.006983389270114548
2023-08-07,0.005698350626529347,-0.0005749024491344956,0.010628705556547047,0.004114401867602702
2023-08-08,-0.0060228144646122805,-0.0008175085356503242,-0.0020100075161967323,-0.0013497354646058168
2023-08-09,0.006597284089354005,0.00036355839064716733,0.0030211309113585827,0.003152707884763739
2023-08-10,0.0044550500308568886,-0.008876095730565803,-0.0038010422443517378,-0.004556268458015711
2023-08-11,0.004218488758902961,-0.010422693526551674,-0.012418107975128767,-0.005874136161590715
2023-08-14,0.011817130551516453,-0.004880120464053395,0.015818175847735372,0.00032169565781225984
2023-08-16,-0.0008147887022478262,-0.002917690728519662,0.01790386156656698,0.0015667570139761278
2023-08-17,-0.014426274382724147,-0.005540923631977557,-0.004899455927719454,-0.005124582584125403
2023-08-18,0.007407409568482626,-0.00410076561757311,-0.016116981634158867,-0.0028452826260957353
2023-08-21,-0.010911451236625624,-0.0007858461911056658,0.011952678389892668,0.0043215209131937105
2023-08-22,-0.0002381397614932279,-0.004277977234195873,-0.0011740196543393866,0.00014693555773015454
2023-08-23,0.0011114208967042405,0.002464060274034674,0.002991875212849937,0.0024515199000461063
