Date,Reliance,HDFC Bank,Infosys,NIFTY50
2023-05-22,1120.6990966796875,798.6755981445312,1185.662353515625,18314.400390625
2023-05-23,1120.49365234375,796.8018188476562,1192.3114013671875,18348.0
2023-05-24,1113.9656982421875,786.3868408203125,1191.027587890625,18285.400390625
2023-05-25,1113.828857421875,783.3693237304688,1196.255126953125,18321.150390625
2023-05-26,1144.208740234375,786.3868408203125,1208.26953125,18499.349609375
2023-05-29,1150.6453857421875,795.9744873046875,1205.47216796875,18598.650390625
2023-05-30,1150.3486328125,796.5828857421875,1214.1390380859375,18633.849609375
2023-05-31,1127.5009765625,783.9777221679688,1209.049072265625,18534.400390625
2023-06-01,1124.4652099609375,780.6439208984375,1210.149658203125,18487.75
2023-06-02,1120.7904052734375,781.860595703125,1207.3612060546875,18534.099609375
2023-06-05,1130.8563232421875,780.8385620117188,1212.4732666015625,18593.849609375
2023-06-06,1131.8148193359375,778.4052124023438,1188.772216796875,18599.0
2023-06-07,1140.3970947265625,782.4446411132812,1198.020263671875,18726.400390625
2023-06-08,1141.081787109375,782.9312744140625,1192.30419921875,18634.55078125
2023-06-09,1133.001708984375,783.8560791015625,1176.6427001953125,18563.400390625
2023-06-12,1134.0059814453125,779.0865478515625,1200.8087158203125,18601.5
2023-06-13,1150.759521484375,780.4005126953125,1212.798583984375,18716.150390625
2023-06-14,1164.910888671875,779.548828125,1208.66259765625,18755.900390625
2023-06-15,1165.23046875,769.961181640625,1196.0218505859375,18688.099609375
2023-06-16,1176.574462890625,780.0355224609375,1200.5296630859375,18826.0
2023-06-19,1164.88818359375,780.7169189453125,1202.714111328125,18755.44921875
2023-06-20,1167.3074951171875,782.3473510742188,1211.450927734375,18816.69921875
2023-06-21,1170.5943603515625,796.023193359375,1207.6866455078125,18856.849609375
2023-06-22,1157.4471435546875,799.9166870117188,1191.1424560546875,18771.25
2023-06-23,1147.9749755859375,799.8680419921875,1175.759765625,18665.5
2023-06-26,1139.210205078125,795.9988403320312,1180.732421875,18691.19921875
2023-06-27,1139.62109375,807.2169799804688,1188.91162109375,18817.400390625
2023-06-28,1154.708251953125,815.75830078125,1202.10986328125,18972.099609375
