Stock,Alpha,Beta,R2,MAE,RMSE,Final Gradient Descent Cost,CAPM Expected Annual Return,Beta Classification
Reliance,-6.61235692387029e-05,1.0906619463901206,0.4617644562071521,0.006937254378175896,0.009672940430551164,4.678288828649567e-05,0.12442430298383789,Market-like
HDFC Bank,-0.0003865218663644318,1.0405561209517569,0.47911071175667397,0.006424732402094657,0.008912769949482055,3.971873408619517e-05,0.12197913870244573,Market-like
Infosys,-0.00019971307055184444,0.870701813463481,0.2101315721832261,0.00991034532591357,0.013867353522304544,9.615174685628613e-05,0.11369024849701787,Defensive
